market,arrival_date,price
Patna,21-01-2016,
Chittoor,21-01-2016,413
Nagpur,21-01-2016,377
Ahmedabad,21-01-2016,415
Ajmer,21-01-2016,380
Asansole,21-01-2016,
Barwala,21-01-2016,390
Bengaluru (CC),21-01-2016,395
Brahmapur (OD),21-01-2016,
Burdwan (CC),21-01-2016,
Chennai (CC),21-01-2016,420
Namakkal,21-01-2016,402
Delhi (CC),21-01-2016,393
E.Godavari,21-01-2016,372
Hyderabad,21-01-2016,375
Ludhiana,21-01-2016,375
Midnapur (KOL),21-01-2016,
Mumbai (CC),21-01-2016,415
Muzaffurpur (CC),21-01-2016,
Mysuru,21-01-2016,410
Pune,22-01-2016,410
Ranchi (CC),22-01-2016,
Vizag,22-01-2016,380
W.Godavari,22-01-2016,374
Warangal,22-01-2016,378
Allahabad (CC),22-01-2016,414
Bhopal,22-01-2016,410
Hospet,22-01-2016,364
Kolkata (WB),22-01-2016,415
Jabalpur,22-01-2016,395
Kanpur (CC),22-01-2016,423
Patna,22-01-2016,
Luknow (CC),22-01-2016,430
Raipur,22-01-2016,399
Surat,22-01-2016,
Varanasi (CC),22-01-2016,427
Indore (CC),22-01-2016,400
Namakkal,22-01-2016,402
Vijayawada,22-01-2016,374
Mysuru,22-01-2016,410
Nagpur,22-01-2016,379
Ajmer,22-01-2016,393
Asansole,22-01-2016,
Barwala,22-01-2016,395
Bengaluru (CC),22-01-2016,397
Brahmapur (OD),22-01-2016,
Burdwan (CC),22-01-2016,
Chennai (CC),22-01-2016,420
Ahmedabad,22-01-2016,415
Delhi (CC),22-01-2016,400
E.Godavari,22-01-2016,374
Hyderabad,22-01-2016,375
Ludhiana,22-01-2016,375
Midnapur (KOL),22-01-2016,
Mumbai (CC),22-01-2016,415
Muzaffurpur (CC),22-01-2016,
Chittoor,22-01-2016,413
Ranchi (CC),23-01-2016,
Vijayawada,23-01-2016,379
W.Godavari,23-01-2016,379
Warangal,23-01-2016,388
Allahabad (CC),23-01-2016,428
Bhopal,23-01-2016,415
Hospet,23-01-2016,372
Kolkata (WB),23-01-2016,419
Jabalpur,23-01-2016,408
Kanpur (CC),23-01-2016,443
Luknow (CC),23-01-2016,440
Raipur,23-01-2016,415
Surat,23-01-2016,
Varanasi (CC),23-01-2016,433
Pune,23-01-2016,420
Indore (CC),23-01-2016,400
Patna,23-01-2016,
Vizag,23-01-2016,390
Namakkal,23-01-2016,406
Ajmer,23-01-2016,410
Asansole,23-01-2016,
Barwala,23-01-2016,408
Bengaluru (CC),23-01-2016,405
Brahmapur (OD),23-01-2016,
Burdwan (CC),23-01-2016,
Chennai (CC),23-01-2016,420
Chittoor,23-01-2016,413
Ahmedabad,23-01-2016,427
E.Godavari,23-01-2016,379
Delhi (CC),23-01-2016,421
Mysuru,23-01-2016,412
Muzaffurpur (CC),23-01-2016,
Mumbai (CC),23-01-2016,425
Nagpur,23-01-2016,393
Ludhiana,23-01-2016,390
Hyderabad,23-01-2016,385
Midnapur (KOL),23-01-2016,
Varanasi (CC),24-01-2016,440
Pune,24-01-2016,430
Ranchi (CC),24-01-2016,
Vijayawada,24-01-2016,385
Vizag,24-01-2016,395
W.Godavari,24-01-2016,385
Warangal,24-01-2016,398
Allahabad (CC),24-01-2016,428
Hospet,24-01-2016,382
Indore (CC),24-01-2016,405
Jabalpur,24-01-2016,417
Kolkata (WB),24-01-2016,419
Luknow (CC),24-01-2016,443
Raipur,24-01-2016,420
Surat,24-01-2016,
Patna,24-01-2016,
Bhopal,24-01-2016,423
Kanpur (CC),24-01-2016,443
Nagpur,24-01-2016,405
Mysuru,24-01-2016,412
Namakkal,24-01-2016,406
Ahmedabad,24-01-2016,439
Ajmer,24-01-2016,410
Asansole,24-01-2016,
Barwala,24-01-2016,410
Brahmapur (OD),24-01-2016,
